Artikelid,Namn,Namn2,Varugrupp,Varnummer,Prisinklmoms,Ursprung,Producent,Argang,Alkoholhalt,Typ,RavarorBeskrivning
864567,Sonoma Hills,Pinot Noir,Rott vin,2863,139.0,Kalifornien,Sonoma Hills,2015.0,14.50%,Kryddigt & Mustigt,Pinot noir.
865047,Mandois,Brut Origine,Mousserande vin,77023,319.0,Champagne,Henri Mandois,,12.00%,Vitt Torrt,
865053,Mandois,Brut Origine,Mousserande vin,77577,639.0,Champagne,Henri Mandois,,12.00%,Vitt Torrt,
865059,Mandois,Brut Origine,Mousserande vin,77491,189.0,Champagne,Henri Mandois,,12.00%,Vitt Torrt,
865068,Mandois,Brut Origine,Mousserande vin,77574,10999.0,Champagne,Henri Mandois,,12.00%,Vitt Torrt,
865202,Andre Clouet,Brut Rose,Mousserande vin,77253,319.0,Champagne,Andre Clouet,,12.00%,Rose,
865576,Kleine Zalze,Vineyard Selection Pinotage,Rott vin,3198,85.0,Western Cape,Kleine Zalze,2015.0,14.00%,Fruktigt & Smakrikt,Pinotage.
865623,Côteaux Du Layon,Domaine Cady,Vitt vin,75113,136.0,Loiredalen,Domaine Cady,2012.0,11.00%,Sott,
865642,Coteaux du Layon,St Aubin,Vitt vin,75114,154.0,Loiredalen,Domaine Cady,2012.0,12.00%,Sott,
866072,McManis,Cabernet Sauvignon,Rott vin,74353,139.0,Kalifornien,McManis Family Vineyards,2014.0,13.50%,Fruktigt & Smakrikt,Cabernet sauvignon.
866390,Pizzolato Spumante d'Italia Bianco,Extra Dry,Mousserande vin,77185,69.0,,La Cantina Pizzolato,,11.00%,Vitt Torrt,
8672823,Aida Cava,Reserva Brut Nature,Mousserande vin,78664,178.0,Cava,Cava Vives Ambròs,,12.00%,Vitt Torrt,
868277,Christer Berens,Trebbiano D'Abruzzo,Vitt vin,78286,75.0,Abruzzerna,Christer Berens AS,2014.0,12.00%,Friskt & Fruktigt,Trebbiano.
868606,Avinyó,Reserva Brut,Mousserande vin,77988,134.0,Cava,Avinyó,2014.0,11.50%,Vitt Torrt,
868626,Avinyó,Gran Reserva La Ticota Cava,Mousserande vin,77385,196.0,Cava,Avinyó,2008.0,11.50%,Vitt Torrt,
868652,Avinyó,Reserva Brut Nature,Mousserande vin,77434,143.0,Cava,Avinyó,2012.0,11.50%,Vitt Torrt,
868675,Avinyó,Sublim Brut Rose Cava,Mousserande vin,77143,167.0,Cava,Avinyó,,12.00%,Rose,
868834,Coteaux du Layon,Chaume Premier Cru,Vitt vin,73465,167.0,Loiredalen,Domaine Cady,2011.0,11.00%,Sott,
