Artikelid,Varnummer
1106358,6015
11070,12357
1107150,7788
1107262,77672
1108223,2804
1108447,77327
1108759,77075
1108812,74115
1108944,74190
1108950,2315
1109017,74365
1110144,77612
1110150,77018
1110872,2143
1110894,78055
1112649,6874
1112749,2558
1112759,2445
1112977,3635
1113167,77536
1113385,6904
1113656,74255
1114416,77197
1114427,77686
1114943,72291
1116029,79000
1116043,77404
1116183,76535
1116328,74080
1116575,79061
1116578,2819
1116588,7913
1116610,90671
1116899,91264
1116930,2044
1117036,77886
1117048,7914
1117053,2376
1117069,92072
1117355,79208
1117399,2383
1117462,8377
1117572,2336
1117878,79116
11183,87511
1118770,78247
1119183,79898
1119218,78774
1119241,78290
1119676,77936
1120081,76913
1120446,71355
1120495,75626
1120544,79139
1120555,76384
1120821,77358
1121098,79327
1121142,92144
1121148,78375
1121456,90011
1121509,75722
1121565,77386
1122093,78377
1122244,75382
1122615,31202
1122838,7891
1123201,77180
1123900,90205
1124591,92175
1124859,76947
1125441,71805
11255,12363
1125629,78614
1125846,99010
11261,12366
1127097,90005
1127316,77142
1127535,78227
1127586,72032
1127640,77524
1128092,87338
1129062,2601
1129461,70083
11305,12697
1131088,90458
1131456,78435
1131538,91152
1131678,76593
1131712,78511
1131882,92227
11321,12601
1132924,2852
1132978,3071
1132990,7731
1132993,70762
1133049,2334
1133052,79561
1133085,92254
1133115,92260
1133234,92267
1133312,77544
1133430,78825
1133449,77702
1133479,3134
1133482,72704
1133513,3104
1133777,78826
1133953,77525
1134291,2550
1134910,77033
1134939,2766
1135204,77354
1135241,7755
1135680,99134
1136110,72936
1136117,92298
1136130,70776
1136491,92323
1137312,77401
1137323,75821
1137340,77756
1137343,77664
1137448,77930
1137451,77944
1137485,77281
1137495,77888
1137661,77468
1137748,77469
1137765,77470
1139645,75244
1139660,92361
1140070,4642
1140517,75901
1141597,77475
1141655,77819
1141869,4643
1141900,4643
1142003,4645
1142235,77923
1142252,77924
1142255,99168
1142442,99270
1142548,30203
1142990,71993
1143367,94012
1143411,31360
1143507,71635
1143533,74586
1143609,70896
1143612,76364
1143642,72869
1143715,75300
1144224,99490
1144230,99514
1144313,73546
1144530,99593
1144533,77116
1144875,77635
1144940,70008
1144943,77812
1145203,15001
1145504,74621
1145660,79479
1145703,77280
1145739,77890
1146497,76200
1146943,90337
1146946,99476
1147246,2514
1147358,2515
1147421,2516
1147430,2529
1147515,92263
1148307,99699
1148559,77366
1149864,95783
1149888,99163
1150007,77543
1150398,99718
1150404,99831
1151624,77463
1151833,77594
1152052,2602
1152390,73242
1154319,78353
1154386,79342
1154389,77937
1154437,79527
1154443,79153
1154547,73661
1154604,76781
1154711,76820
1154807,92506
1155238,78287
1155334,75986
1155365,76822
1155536,78312
1155817,99537
1155838,99885
1155847,79533
1155983,6785
1155988,99195
1156067,79833
1156159,78732
1156162,2047
1156174,6021
1156192,7760
1156198,6576
1156213,70725
1156216,99796
1156219,79636
1156540,90587
1156553,6289
1156556,90602
1156573,95188
1157422,2080
1157649,7749
1157736,79298
1157745,77898
1157774,77097
1157807,76365
1157845,92182
1157871,92185
1157921,75635
1158212,6894
1158277,7915
1158304,6286
1158371,71465
1158374,6352
1158682,2234
1158926,2719
1159016,2930
1159142,99101
1159145,2213
1159292,31468
1159579,76092
1159718,95345
1159767,94234
1159978,2451
1160182,78277
1160188,78624
1160470,78050
1160776,2722
1160888,76221
1160911,2388
1160923,92000
1161093,5619
1161099,77461
1161108,91116
1161114,98019
1161169,5491
1161208,2530
11613,12385
1161490,7916
1161495,77585
1161511,3156
1161560,2374
1161634,78225
11617,16632
1161912,76532
1161949,7917
1162022,7918
1162163,78659
1162180,79792
1162657,76877
1162808,2911
1162817,72290
1162842,78558
1163258,73547
1163685,77504
1163710,74192
1163714,95595
1163839,77698
1163851,77699
1164456,75978
1164584,77723
1164713,79029
1164881,77701
1164905,79276
1165048,76935
1165227,76309
1165298,73434
1165304,77257
1165322,76451
1165647,71783
1166087,78184
1166093,78322
1166111,78121
1166114,78441
1166120,78228
1166137,78348
1166143,78230
1166165,95200
1166465,76428
1166516,76997
1166581,72380
1167994,77334
1168069,71300
1168377,77382
1168407,76921
1168413,78001
1168446,78872
1168449,76315
1168752,73738
1169246,79090
1169511,71207
1169560,78792
1169918,97016
1170124,78823
1170140,78912
1170143,78239
1170173,99035
1170197,74708
1170469,71438
1170472,74307
1170512,78579
1170777,90157
1171197,95585
1171266,74487
1171322,74890
1172254,73619
1172675,77990
1173555,79097
1173592,77990
11739,7549
11740,7549
1174382,78793
1174388,78045
1174394,79852
1174403,79107
1175200,72181
1175617,77350
1175718,77173
1175764,78308
1176963,73618
1177201,4646
1177291,6833
1177664,2205
1177667,6571
1177709,72218
1179160,70286
1180287,70268
